 Iter, NormResNorm, ResDivD, ResDivH, ResDivA, ResCurlSrc
27  8.6404161458423723E-02  3.8632840243831634E-01  1.4467340414655340E-02  7.3447027927048325E-01  3.1573585738459969E-01
28  9.1569955704013759E-02  3.6059098028526265E-01  1.4847949471175719E-02  7.2020173044462965E-01  3.1282819281019181E-01
29  9.6364133683604344E-02  3.7552558824206539E-01  1.5777831686792601E-02  7.1276526024455167E-01  3.0923923756109378E-01
30  9.5540589445783045E-02  4.0909058955686950E-01  1.6503730845837394E-02  7.2061012406779767E-01  3.0516284034393110E-01
31  9.3396386875727419E-02  4.2889485908563979E-01  1.6594565846172853E-02  7.2995713294343645E-01  3.0066234348254905E-01
32  9.9632948200489693E-02  4.3699609399782008E-01  1.6637586011456571E-02  7.2367781213318383E-01  2.9522060158215069E-01
33  1.0447164873840278E-01  4.4012335610701020E-01  1.6895620716981672E-02  7.0377694684137737E-01  2.8867249939038520E-01
34  1.0137779054736837E-01  4.2900485753845896E-01  1.6897442201147101E-02  6.9824934417440443E-01  2.8213264984860220E-01
35  9.8475884745021516E-02  4.0991554144733805E-01  1.6375234295856481E-02  7.0711429802795711E-01  2.7628500795919042E-01
36  1.0150901993669251E-01  3.9426316939253470E-01  1.5799344522472301E-02  7.1168393232379645E-01  2.7024040329646665E-01
37  1.0347917953180660E-01  3.7933779771633996E-01  1.5555620922127174E-02  7.1309968507298915E-01  2.6347457927403883E-01
38  9.9054447808653717E-02  3.5658027425643057E-01  1.5110468797727586E-02  7.2187076981974552E-01  2.5678849790288993E-01
39  9.5023505856407731E-02  3.3138993769218716E-01  1.4280065634914864E-02  7.2344150813378361E-01  2.5043516513621616E-01
40  8.9504964436561349E-02  3.1371163300155736E-01  1.3388923773754381E-02  7.0575552329485225E-01  2.4442786088575527E-01
41  7.9900370635457699E-02  2.9769259838121959E-01  1.2384043150433894E-02  6.8859528659978109E-01  2.3942852458916608E-01
42  7.4785312757931766E-02  2.7981212831742491E-01  1.1288152051298921E-02  6.8189633440502362E-01  2.3524616736545298E-01
43  7.4002504586796608E-02  2.6973662252166380E-01  1.0289808058585124E-02  6.8031718628876670E-01  2.3122914444975087E-01
44  6.8418844310636301E-02  2.6823222900036225E-01  9.3646037736818104E-03  6.9449014460583225E-01  2.2752435127065629E-01
45  6.3167938406734833E-02  2.6327424499746660E-01  8.4516865675660132E-03  7.0673850704636421E-01  2.2454323014395755E-01
46  6.0769530568420820E-02  2.5830007783961612E-01  7.8256849944563917E-03  7.1204390372133997E-01  2.2198988025638519E-01
47  6.0002365831204767E-02  2.5932591976651831E-01  7.5759165889923543E-03  7.2387988130621717E-01  2.1975078101479362E-01
48  5.9399717987820330E-02  2.6981334927488243E-01  7.4265068569246548E-03  7.3846033170214775E-01  2.1773146626973441E-01
49  5.8819306094926485E-02  2.8932168265131852E-01  7.3347188745516998E-03  7.2815876716497330E-01  2.1594356536328191E-01
50  5.6980599600861083E-02  3.0973780221540209E-01  7.4405195191323799E-03  7.1617954024417796E-01  2.1431641008078120E-01
51  5.6032699509956693E-02  3.1967576829764865E-01  7.4615194602602854E-03  7.2313897789680104E-01  2.1289572989254804E-01
52  5.5681705928790237E-02  3.2576194666882696E-01  7.4730768843388846E-03  7.3666209726165011E-01  2.1150225601564859E-01
53  5.7139626293682459E-02  3.3814834382483694E-01  7.5087442141852341E-03  7.2909194822791201E-01  2.1017771953283684E-01
54  6.0350835021326578E-02  3.6437909673963931E-01  7.7530918550435396E-03  7.1245864780698198E-01  2.0873186252221901E-01
55  6.1135080093246454E-02  3.9458349107903845E-01  8.0137213051159964E-03  7.0719751702967082E-01  2.0731075798384804E-01
